High-level Description,App Sequence,Category sequence
"I went to have my teeth cleaned last Friday. In Taiwan, I can have my teeth cleaned once every six months.","{apps: 'Calender', 'Reminder'}","['Productivity', 'Events']"
I forgot to pay Anna for lunch.,{apps: 'Bank'},['Finance']
I have a party in half an hour and I'm running late.,"{apps: 'Maps', 'Uber'}","['Travel & Local', 'Maps & Navigation']"
I want to learn Texas Hold'em.,"{apps: 'YouTube', 'Amazon'}","['Video Players & Editors', 'Shopping']"
I want to learn to cook Italian cuisine.,"{apps: 'YouTube', 'RecipeApp'}","['Video Players & Editors', 'Food & Drink']"
My girlfriend loves to ski.,"{apps: 'YouTube', 'Amazon'}","['Video Players & Editors', 'Shopping']"
I heard that successful people have the habit of getting up early.,{apps: 'Alarm'},['Tools']
I heard there is a tsunami warning in Hawaii.,{apps: 'News'},['News & Magazines']
The United States has issued a travel advisory for several countries.,{apps: 'News'},['News & Magazines']
Back home and found a lot of childhood photos.,"{apps: 'Photos', 'Line', 'Instagram'}","['Photography', 'Communication', 'Social']"
My first yacht party.,"{apps: 'Photos', 'Line', 'Instagram'}","['Photography', 'Communication', 'Social']"
Today is my college graduation ceremony.,"{apps: 'Photos', 'Line', 'Instagram'}","['Photography', 'Communication', 'Social']"
My monthly allowance is 13000.,{apps: 'Bank'},['Finance']
There is a workshop I have to attend in person next month.,"{apps: 'Calender', 'Reminder'}","['Productivity', 'Events']"
I attended my girlfriend's graduation today.,"{apps: 'Photos', 'Line', 'Instagram'}","['Photography', 'Communication', 'Social']"
Food in Korean drama looks delicious. I want to try some.,"{apps: 'Maps', 'Uber'} ","['Travel & Local', 'Maps & Navigation']"
Alisa invites me to her birthday party.,"{apps: 'Calendar', 'Shopee', 'GU'}","['Photography', 'Shopping', 'Shopping']"
I have a fever. I feel uncomfortable. Check if I can take a taxi.,"{apps: 'Maps', 'Uber'} ","['Travel & Local', 'Maps & Navigation']"
John's favorite restaurant just open near our school.,"{apps: 'Maps', 'Photos', 'Line'}","['Travel & Local', 'Photography', 'Communication']"
My notebook was broken. I need to get a new one. Check how much money is left in my account.,{apps: 'Shopee'},['Shopping']
I want to go to Hualian to take a vacation.,"{apps: 'Maps', 'TrainApp'}","['Travel & Local', 'Maps & Navigation']"
I lost my lovely cat. I need to post her picture on social media to ask for help.,"{apps: 'Maps', 'Instagram', 'Facebook'}","['Travel & Local', 'Social', 'Social']"
I want to make new friend and chat with them.,"{apps: 'Tinder', 'Line'}","['Lifestyle', 'Communication']"
"My friend asks me to drive him to the airport, but I don't have a car.","{apps: 'IRent', 'Maps', 'Line'} ","['Travel & Local', 'Travel & Local', 'Communication']"
I want to learn cooking.,"{apps: 'YouTube', 'Amazon'}","['Video Players & Editors', 'Shopping']"
Julia's new video just post. I want to watch and help publicize.,"{apps: 'YouTube', 'Instagram'}","['Video Players & Editors', 'Social']"
I can't figure out difference between these fern. I want to learn more.,"{apps: 'YouTube', 'Amazon'}","['Video Players & Editors', 'Shopping']"
My teeth is hurt. Is there any clinic nearby?  Check if I can take bus or I have to take a taxi.,"{apps: 'Maps', 'BusApp', 'Uber'} ","['Travel & Local', 'Maps & Navigation', 'Maps & Navigation']"
I take some photos and write comments about the dinner last night.,"{apps: 'Photos', 'Line', 'Instagram'}","['Photography', 'Communication', 'Social']"
I want to ask Ania out for lunch tomorrow.,"{apps: 'Maps', 'Line'}","['Travel & Local', 'Communication']"
I want to buy something at supermarket.,"{apps: 'Maps', 'bank'}","['Travel & Local', 'Finance']"
Next week is my mom's birthday.,"{apps: 'Calendar', 'Amazon'}","['Photography', 'Shopping']"
My friend just shared a nice restaurant,"{apps: 'Instagram', 'Maps'}","['Social', 'Travel & Local']"
I want to go shopping with my friends tomorrow 9 o'clock. When should I get up?,"{apps: 'Calendar', 'BusApp', 'alarm'}","['Photography', 'Maps & Navigation', 'Tools']"
I met many new friends at last night's party,"{apps: 'Instagram', 'Photos'}","['Social', 'Photography']"
Oh my god! I lost my airpods,"{apps: ""Find my app"", ""Maps""}","['Tools', 'Travel & Local']"
I would like to make an online meeting with professor Lin,"{apps: ""Meets"", ""Calendar"", ""Mail""}","['Business', 'Photography', 'Communication']"
How much money have I spent this month?,"{apps: ""Financial app"", ""Bank""}","['Finance', 'Finance']"
I'm too lazy to cook. Let's order food delivery,"{apps: ""UberEats"", ""FoodPanda""}","['Food & Drink', 'Food & Drink']"
Is tomorrow a great day for hiking?,"{apps: ""Weathers"", ""Maps""}","['Weather', 'Travel & Local']"
I want to buy some tsmc stocks,"{apps: ""Bank"", ""Stocks"", ""Financial app""}","['Finance', 'Finance', 'Finance']"
I want to plan a three-day trip to Yilan,"{apps: ""Trivago"", ""Maps"", ""Weathers""}","['Travel & Local', 'Travel & Local', 'Weather']"
I should make a video for my freshman English class,"{apps: ""Camera"", ""iMovie""}","['Photography', 'Video Players & Editors']"
I want to know Yankee's play today,"{apps: ""MLB"", ""YouTube""}","['Sports', 'Video Players & Editors']"
Everyone is talking about Ukraine's war,"{apps"" ""News"", ""Facebook""}","['News & Magazines', 'Social']"
Give me some travel spot for dating with my girlfriend.,"{apps: 'Maps', 'Messenger'}","['Travel & Local', 'Communication']"
The brand new MacBook looks great.,{apps: 'Amazon'},['Shopping']
The apartment opposite is on fire.,"{apps: 'Phone', 'Messenger'}","['Tools', 'Communication']"
I ran out of tissue paper,{apps: 'Amazon'},['Shopping']
I would like to discuss a research topic with my professor,"{apps: 'Gmail', 'Google Meet'}","['Communication','Communication' ]"
I can't read the Japanese on the menu.,{apps: 'Google translate'},['Tools']
I would like to learn to make pasta.,"{apps: 'YouTube', 'Amazon'}","['Video Players & Editors', 'Shopping']"
I want to visit Korea soon.,"{apps: 'Flights', 'Hotels', 'TripAdvisor'}","['Travel & Local', 'Travel & Local', 'Travel & Local']"
"I woke up late, so I may miss the morning's meeting.","{apps: 'Calender', 'Gmail'}","['Productivity', 'Communication']"
I need to go to another city and stay one night for tomorrow's meeting.,"{apps:'Flight/Train/Taxi', 'Hotels', 'Calender'}","['Travel & Local', 'Travel & Local', 'Productivity']"
I cannot figure out why the financial market is so poor these days.,"{apps: 'Yahoo Finance', 'News'}","['Finance', 'News & Magazines']"
I can't stand my boss.,"{apps: 'Linkedin', 'Gmail'}","['Social', 'Communication']"
My boyfriend's birthday is coming soon.,"{apps: 'Amazon', 'OpenTable', Hotels'}","['Shopping', 'Food & Drink', 'Travel & Local']"
I will graduate from college soon.,"{apps: 'Linkedin', 'Glassdoor'}","['Social', 'Business']"
"I really like watching movie, but my schedule is so tight.","{apps: 'Calender', 'Movies'}","['Productivity', 'Entertainment']"
